Symbol,Date,Open,High,Low,Close,Volume,Adj Close
C,2016-04-28,46.790001,47.529999,46.549999,46.73,18209400,46.73
C,2016-04-27,46.889999,47.84,46.790001,47.330002,19444700,47.280001
C,2016-04-26,46.709999,47.16,46.419998,47.099998,15573600,47.05024
C,2016-04-25,46.630001,46.93,46.139999,46.689999,13480500,46.640674
C,2016-04-22,46.689999,47.349998,46.619999,46.970001,17425900,46.920381
C,2016-04-21,46.790001,46.950001,46.23,46.599998,21538600,46.550769
C,2016-04-20,45.740002,46.75,45.73,46.740002,21645700,46.690624
C,2016-04-19,45.419998,45.93,45.23,45.630001,18833300,45.581796
C,2016-04-18,44.419998,45.25,44.209999,45.110001,22929900,45.062345
C,2016-04-15,46.450001,46.560001,44.599998,44.919998,39168600,44.872543
C,2016-04-14,44.139999,45.290001,44.02,44.98,26885100,44.932481
C,2016-04-13,42.549999,44.490002,42.549999,44.25,33135400,44.203253
C,2016-04-12,41.279999,41.959999,41.119999,41.900002,19888700,41.855737
C,2016-04-11,40.740002,41.509998,40.709999,41.119999,21083700,41.076558
C,2016-04-08,40.860001,41.279999,40.369999,40.470001,14676100,40.427247
C,2016-04-07,41.299999,41.48,39.950001,40.27,22618000,40.227458
C,2016-04-06,41.529999,41.889999,41.189999,41.860001,16169900,41.815778
C,2016-04-05,41.450001,41.900002,41.119999,41.509998,17867800,41.466146
C,2016-04-04,42.360001,42.700001,41.98,42.060001,14376300,42.015568
C,2016-04-01,41.52,42.599998,41.299999,42.470001,17749500,42.425135
C,2016-03-31,41.830002,42.34,41.59,41.75,15661700,41.705894
C,2016-03-30,41.98,42.59,41.849998,41.880001,14763200,41.835758
C,2016-03-29,41.779999,41.779999,41.139999,41.720001,18160100,41.675927
C,2016-03-28,42.099998,42.18,41.68,41.919998,13062400,41.875713
C,2016-03-24,41.779999,41.939999,41.029999,41.939999,22723400,41.895692
C,2016-03-23,43.279999,43.50,42.279999,42.369999,23989200,42.325238
C,2016-03-22,43.27,43.630001,42.91,43.380001,14885100,43.334173
C,2016-03-21,43.43,44.259998,43.25,43.599998,16226400,43.553938
C,2016-03-18,43.43,43.970001,43.25,43.540001,30801900,43.494004
C,2016-03-17,41.990002,42.93,41.380001,42.849998,24262800,42.80473
C,2016-03-16,42.130001,43.049999,41.50,42.23,22981000,42.185386
C,2016-03-15,42.259998,42.619999,41.970001,42.59,13784700,42.545007
C,2016-03-14,42.66,42.91,42.209999,42.669998,15332700,42.62492
C,2016-03-11,42.27,43.009998,41.759998,42.990002,21068500,42.944586
C,2016-03-10,41.610001,42.150002,40.610001,41.369999,21139800,41.326294
C,2016-03-09,41.360001,41.43,40.630001,41.150002,18573900,41.106529
C,2016-03-08,42.150002,42.310001,40.990002,41.049999,26265000,41.006633
C,2016-03-07,42.360001,42.93,42.080002,42.610001,22134600,42.564986
C,2016-03-04,43.07,43.59,42.470001,42.830002,28071000,42.784755
C,2016-03-03,42.139999,42.869999,41.889999,42.830002,21835200,42.784755
C,2016-03-02,41.240002,42.25,41.09,42.220001,28383800,42.175399
C,2016-03-01,39.150002,41.290001,39.099998,41.27,30606800,41.226401
C,2016-02-29,39.43,39.799999,38.849998,38.849998,22268700,38.808956
C,2016-02-26,39.060001,40.02,38.759998,39.50,23757400,39.458271
C,2016-02-25,38.23,38.650002,38.009998,38.619999,19889500,38.5792
C,2016-02-24,37.439999,38.18,36.610001,38.09,25912400,38.049761
C,2016-02-23,39.119999,39.189999,38.040001,38.220001,26234200,38.179624
C,2016-02-22,39.669998,39.970001,39.299999,39.52,22028600,39.47825
C,2016-02-19,38.82,39.060001,38.060001,38.990002,22426000,38.948811
C,2016-02-18,39.93,39.990002,38.619999,38.919998,24107700,38.878882
C,2016-02-17,39.709999,40.290001,39.50,39.779999,29133500,39.737974
C,2016-02-16,38.59,39.220001,38.32,38.889999,31802500,38.848915
C,2016-02-12,36.029999,37.869999,35.98,37.540001,38120400,37.500342
C,2016-02-11,36.00,36.16,34.52,34.98,48945600,34.943046
C,2016-02-10,38.50,39.09,37.380001,37.41,33390000,37.370479
C,2016-02-09,36.93,38.07,36.68,37.509998,39767200,37.470372
C,2016-02-08,39.139999,39.18,37.18,37.810001,35237100,37.770058
C,2016-02-05,41.02,41.439999,39.549999,39.860001,23599700,39.817891
C,2016-02-04,40.110001,41.57,40.049999,40.790001,26732600,40.746909
C,2016-02-03,40.650002,40.709999,38.040001,40.360001,43680300,40.317363
C,2016-02-02,41.860001,41.860001,40.279999,40.419998,31460900,40.377297
C,2016-02-01,42.360001,42.830002,42.00,42.48,22860300,42.435122
C,2016-01-29,40.799999,42.59,40.779999,42.580002,36107600,42.535019
C,2016-01-28,41.200001,41.389999,40.07,40.389999,23212800,40.34733
C,2016-01-27,40.369999,41.689999,40.23,40.560001,28274800,40.467206
C,2016-01-26,39.599998,40.790001,39.50,40.50,23508400,40.407341
C,2016-01-25,40.810001,40.959999,39.450001,39.549999,31924000,39.459514
C,2016-01-22,41.049999,41.349998,40.82,41.060001,30187200,40.966062
C,2016-01-21,40.509998,41.389999,40.029999,40.150002,34976700,40.058144
C,2016-01-20,40.52,41.029999,39.439999,40.490002,49905400,40.397366
C,2016-01-19,42.849998,43.119999,41.66,41.939999,39032700,41.844046
C,2016-01-15,42.509998,43.689999,41.849998,42.470001,52452600,42.372836
C,2016-01-14,45.419998,45.82,44.57,45.380001,30129500,45.276178
C,2016-01-13,47.32,47.349998,44.970001,45.189999,27925800,45.08661
C,2016-01-12,47.50,47.50,46.27,46.880001,26310000,46.772746
C,2016-01-11,46.560001,46.990002,45.93,46.849998,26284600,46.742812
C,2016-01-08,48.73,48.740002,46.029999,46.130001,30643000,46.024462
